,읍면동명,전기자동차 등록건수,보조금 신청 대기건수
아산시,염치읍,37,2
아산시,배방읍,374,39
아산시,송악면,46,5
아산시,탕정면,197,20
아산시,음봉면,74,24
아산시,둔포면,96,24
아산시,영인면,25,11
아산시,인주면,173,11
아산시,선장면,13,3
아산시,도고면,19,4
아산시,신창면,63,14
아산시,온양1동,76,7
아산시,온양2동,27,5
아산시,온양3동,139,17
아산시,온양4동,64,6
아산시,온양5동,81,12
아산시,온양6동,101,11
